time,ACO,IWO,LBBO,GA,PSO
9.8196,0.99769,0.96208,0.9806,0.98289,0.95929
9.8597,0.99689,0.96032,0.98054,0.98115,0.95755
9.8998,0.99612,0.95876,0.9805,0.97953,0.95601
9.9399,0.99538,0.95739,0.98049,0.97804,0.95469
9.98,0.99467,0.95622,0.9805,0.97668,0.95357
10.02,0.994,0.95524,0.98053,0.97545,0.95265
10.06,0.99336,0.95445,0.98059,0.97434,0.95193
10.1,0.99274,0.95385,0.98066,0.97336,0.9514
10.14,0.99216,0.95342,0.98075,0.97251,0.95106
10.18,0.99161,0.95316,0.98086,0.97178,0.95089
10.22,0.99109,0.95308,0.98099,0.97117,0.9509
10.261,0.99059,0.95314,0.98113,0.97068,0.95107
10.301,0.99013,0.95336,0.98129,0.97031,0.95139
10.341,0.98969,0.95373,0.98146,0.97004,0.95186
10.381,0.98929,0.95422,0.98165,0.96988,0.95247
10.421,0.9889,0.95485,0.98185,0.96982,0.9532
10.461,0.98855,0.95559,0.98206,0.96986,0.95405
10.501,0.98822,0.95643,0.98228,0.96999,0.95501
10.541,0.98792,0.95737,0.98251,0.97021,0.95606
10.581,0.98764,0.9584,0.98276,0.9705,0.9572
10.621,0.98739,0.95951,0.98301,0.97088,0.95842
10.661,0.98715,0.96069,0.98327,0.97132,0.9597
10.701,0.98695,0.96192,0.98354,0.97183,0.96103
10.741,0.98676,0.9632,0.98381,0.9724,0.96242
10.782,0.9866,0.96453,0.98409,0.97302,0.96384
10.822,0.98646,0.96588,0.98438,0.97368,0.96528
10.862,0.98634,0.96726,0.98468,0.97439,0.96674
10.902,0.98623,0.96864,0.98498,0.97513,0.96821
10.942,0.98615,0.97004,0.98528,0.97591,0.96968
10.982,0.98609,0.97143,0.98559,0.9767,0.97113
11.022,0.98604,0.97281,0.9859,0.97752,0.97258
11.062,0.98601,0.97417,0.98621,0.97835,0.97399
11.102,0.986,0.97551,0.98653,0.97919,0.97538
11.142,0.98601,0.97682,0.98685,0.98003,0.97673
11.182,0.98603,0.97809,0.98717,0.98087,0.97804
11.222,0.98606,0.97932,0.9875,0.98171,0.97929
11.263,0.98611,0.9805,0.98782,0.98254,0.9805
11.303,0.98617,0.98164,0.98815,0.98336,0.98165
11.343,0.98625,0.98271,0.98847,0.98416,0.98273
11.383,0.98633,0.98374,0.9888,0.98494,0.98376
11.423,0.98643,0.9847,0.98912,0.9857,0.98472
11.463,0.98654,0.9856,0.98944,0.98644,0.9856
11.503,0.98666,0.98643,0.98977,0.98715,0.98642
11.543,0.98679,0.9872,0.99009,0.98783,0.98717
11.583,0.98693,0.98791,0.99041,0.98847,0.98785
11.623,0.98708,0.98855,0.99072,0.98909,0.98846
11.663,0.98724,0.98912,0.99104,0.98967,0.98899
11.703,0.9874,0.98963,0.99135,0.99021,0.98946
11.743,0.98757,0.99007,0.99166,0.99072,0.98986
11.784,0.98775,0.99046,0.99197,0.9912,0.9902
11.824,0.98793,0.99078,0.99227,0.99164,0.99047
11.864,0.98812,0.99104,0.99257,0.99204,0.99068
11.904,0.98832,0.99124,0.99286,0.9924,0.99083
11.944,0.98852,0.99139,0.99316,0.99273,0.99093
11.984,0.98872,0.99149,0.99344,0.99303,0.99097
12.024,0.98893,0.99155,0.99373,0.99329,0.99097
12.064,0.98914,0.99156,0.99401,0.99352,0.99092
12.104,0.98935,0.99153,0.99428,0.99371,0.99083
12.144,0.98957,0.99146,0.99455,0.99388,0.99071
12.184,0.98979,0.99136,0.99481,0.99401,0.99055
12.224,0.99001,0.99122,0.99507,0.99412,0.99037
12.265,0.99023,0.99107,0.99533,0.99421,0.99016
12.305,0.99045,0.99089,0.99558,0.99427,0.98993
12.345,0.99068,0.99069,0.99582,0.9943,0.98969
12.385,0.9909,0.99048,0.99606,0.99432,0.98944
12.425,0.99113,0.99026,0.99629,0.99432,0.98918
12.465,0.99135,0.99004,0.99652,0.9943,0.98892
12.505,0.99158,0.98981,0.99674,0.99427,0.98865
12.545,0.9918,0.98958,0.99696,0.99422,0.9884
12.585,0.99202,0.98936,0.99717,0.99417,0.98815
12.625,0.99225,0.98914,0.99738,0.99411,0.98792
12.665,0.99247,0.98894,0.99758,0.99404,0.9877
12.705,0.99269,0.98875,0.99777,0.99396,0.9875
12.745,0.99291,0.98858,0.99796,0.99389,0.98732
12.786,0.99312,0.98842,0.99814,0.99381,0.98716
12.826,0.99334,0.98829,0.99832,0.99373,0.98703
12.866,0.99355,0.98818,0.99849,0.99366,0.98693
12.906,0.99376,0.98809,0.99865,0.99359,0.98685
12.946,0.99397,0.98803,0.99881,0.99353,0.98681
12.986,0.99417,0.988,0.99897,0.99347,0.9868
13.026,0.99438,0.988,0.99912,0.99342,0.98683
13.066,0.99458,0.98803,0.99926,0.99338,0.98689
13.106,0.99477,0.9881,0.9994,0.99334,0.98698
13.146,0.99497,0.98819,0.99953,0.99332,0.98711
13.186,0.99516,0.98831,0.99965,0.99332,0.98728
13.226,0.99535,0.98847,0.99978,0.99332,0.98748
13.267,0.99553,0.98865,0.99989,0.99334,0.98771
13.307,0.99571,0.98887,1,0.99337,0.98798
13.347,0.99589,0.98912,1.0001,0.99341,0.98828
13.387,0.99607,0.9894,1.0002,0.99347,0.98861
13.427,0.99624,0.9897,1.0003,0.99355,0.98897
13.467,0.99641,0.99003,1.0004,0.99363,0.98936
13.507,0.99657,0.99039,1.0005,0.99373,0.98978
13.547,0.99673,0.99077,1.0006,0.99385,0.99022
