Jdi,Jdo,Jr
0.35056,0.41862,0.58117
0.35648,0.41747,0.58124
0.3617,0.41674,0.58181
0.3632,0.41642,0.58308
0.19812,0.53689,0.6326
0.19969,0.53326,0.6305
0.20139,0.5297,0.62847
0.20319,0.52619,0.62649
0.20505,0.52274,0.62449
0.20706,0.51935,0.62263
0.2092,0.51603,0.62081
0.21148,0.51279,0.6191
0.2138,0.50959,0.61738
0.21616,0.5064,0.61563
0.21862,0.50327,0.61398
0.22112,0.50016,0.61235
0.22366,0.49707,0.61073
0.22626,0.49402,0.60915
0.2289,0.49099,0.60757
0.23158,0.48798,0.60603
0.23433,0.48502,0.60457
0.23704,0.48202,0.603
0.23981,0.47907,0.60148
0.24262,0.47613,0.60001
0.24544,0.47321,0.59854
0.24828,0.47029,0.59706
0.25116,0.4674,0.59563
0.25404,0.4645,0.59417
0.25695,0.46163,0.59275
0.25994,0.45879,0.59134
0.26322,0.45613,0.5901
0.26671,0.45358,0.58895
0.27038,0.45113,0.5879
0.27422,0.44882,0.587
0.27818,0.44651,0.58602
0.2823,0.44432,0.5852
0.28654,0.4422,0.58441
0.2909,0.44015,0.58372
0.29537,0.43815,0.58304
0.29993,0.43622,0.58244
0.30456,0.43437,0.58194
0.30932,0.43248,0.58133
0.3141,0.43067,0.58083
0.31893,0.42889,0.58037
0.32387,0.42716,0.57992
0.3288,0.42543,0.5795
0.3338,0.42374,0.5791
0.33877,0.42204,0.57869
0.344,0.42047,0.5784
0.34949,0.41909,0.57829
0.35518,0.41802,0.57849
0.35941,0.41734,0.57918
0.36087,0.41701,0.58043
0.20011,0.5346,0.62833
0.20172,0.53097,0.62629
0.2036,0.52743,0.6245
0.20525,0.52392,0.62229
0.20719,0.5205,0.62038
0.20927,0.51715,0.61854
0.21142,0.51385,0.61669
0.21372,0.51063,0.615
0.21603,0.50741,0.61322
0.21849,0.50428,0.61161
0.22092,0.50113,0.60991
0.22344,0.49803,0.60827
0.22605,0.49499,0.60674
0.22863,0.49192,0.6051
0.23129,0.48891,0.60354
0.23399,0.48591,0.602
0.23672,0.48293,0.60048
0.23949,0.47997,0.59899
0.24227,0.47703,0.5975
0.24508,0.47409,0.59601
0.24792,0.47117,0.59454
0.25082,0.4683,0.59315
0.25366,0.46538,0.59165
0.25655,0.46248,0.59019
0.25952,0.45964,0.5888
0.2628,0.45699,0.5876
0.26623,0.45439,0.58637
0.26985,0.45192,0.58529
0.27366,0.44959,0.58437
0.27758,0.44725,0.58337
0.28164,0.44507,0.58259
0.28584,0.44293,0.5818
0.29015,0.44085,0.58106
0.29458,0.4388,0.58032
0.29909,0.43688,0.57975
0.30371,0.43491,0.57908
0.30839,0.43306,0.57855
0.31315,0.43122,0.57801
0.31794,0.42941,0.57751
0.3228,0.42765,0.57707
0.32782,0.42596,0.57667
0.33268,0.42421,0.57622
0.33769,0.42251,0.57581
0.34295,0.42099,0.57557
0.34852,0.41963,0.57547
0.35424,0.4186,0.57569
0.35828,0.41793,0.57639
0.35837,0.41765,0.57793
0.20226,0.53235,0.62421
0.20385,0.52873,0.62212
0.20557,0.52519,0.6201
0.20744,0.52172,0.61816
0.20944,0.51834,0.61628
0.21153,0.515,0.6144
0.21377,0.51174,0.61268
0.21607,0.50852,0.61094
0.21843,0.50533,0.60924
0.22086,0.50218,0.60757
0.22331,0.49905,0.60587
0.22584,0.49596,0.60425
0.22844,0.4929,0.60266
0.23108,0.48987,0.6011
0.23376,0.48686,0.59955
0.23646,0.48387,0.59801
0.2392,0.4809,0.5965
0.24202,0.47797,0.59507
0.24477,0.475,0.59351
0.2476,0.47207,0.59203
0.25048,0.46919,0.59064
0.2533,0.46626,0.58912
0.25621,0.46339,0.58773
0.25913,0.46051,0.58625
0.26236,0.45782,0.58499
0.26579,0.45524,0.58382
0.2694,0.45278,0.58279
0.27313,0.45035,0.58171
0.27703,0.44803,0.58077
0.28105,0.44578,0.57988
0.28521,0.44366,0.57914
0.28947,0.44151,0.5783
0.29385,0.43947,0.57761
0.29831,0.43752,0.57702
0.30288,0.43553,0.57633
0.30752,0.43365,0.57577
0.31223,0.43179,0.57523
0.31701,0.42997,0.57471
0.32183,0.42818,0.57423
0.32672,0.42642,0.57377
0.33166,0.4247,0.57335
0.3367,0.42304,0.57298
0.34201,0.42155,0.57276
0.34745,0.42026,0.57277
0.35309,0.41925,0.573
0.35694,0.4186,0.57376
0.3581,0.41822,0.575
0.20444,0.53018,0.62003
0.20608,0.52656,0.61801
0.20786,0.52304,0.61602
0.20977,0.51961,0.6141
0.21177,0.51623,0.61218
0.21394,0.51292,0.61042
0.21613,0.50965,0.60858
0.21848,0.50644,0.60692
0.22082,0.50325,0.60516
0.22327,0.50011,0.60351
0.22581,0.49702,0.60193
0.22832,0.49392,0.60026
0.23097,0.4909,0.59874
0.23358,0.48785,0.59712
0.23626,0.48484,0.59557
0.23901,0.48188,0.59411
0.24176,0.47891,0.5926
0.2445,0.47593,0.59103
0.24734,0.47302,0.58961
0.25013,0.47007,0.58808
0.25297,0.46716,0.58662
0.25584,0.46426,0.58516
0.25878,0.4614,0.58374
0.26202,0.45873,0.58253
0.2654,0.4561,0.58128
0.26897,0.4536,0.58017
0.27269,0.45118,0.57915
0.27655,0.44887,0.57824
0.28053,0.44657,0.57727
0.28463,0.44438,0.57645
0.28886,0.44225,0.57566
0.29319,0.44017,0.57493
0.29761,0.43817,0.57426
0.30212,0.43623,0.57368
0.30672,0.43429,0.57304
0.3114,0.43241,0.57247
0.31614,0.43056,0.57193
0.32092,0.42875,0.57143
0.32576,0.42697,0.57095
0.33063,0.42528,0.5706
0.33578,0.42361,0.5702
0.3412,0.42215,0.56999
0.34688,0.42088,0.56997
0.35214,0.41994,0.57032
0.35481,0.4194,0.57129
0.35634,0.41896,0.57243
0.2068,0.52805,0.61602
0.20861,0.52444,0.61421
