time	r	uservo	yservo	ureg	yreg	uusort	yusort
248	1	0.61895	0	0.60238	0	0.6137	0
249	1	0.6203	0	0.6045	0	0.61594	0
250	1	0.60763	0.003335	0.59679	0.0022963	0.60866	0.0022448
251	1	0.58319	0.0099973	0.58089	0.0068963	0.59309	0.0067435
252	1	0.56287	0.016648	0.56801	0.011507	0.57985	0.011256
253	1	0.54595	0.023287	0.55756	0.016129	0.56859	0.015781
254	1	0.53181	0.029915	0.54909	0.020762	0.559	0.020319
255	1	0.51997	0.036532	0.5422	0.025405	0.55084	0.024871
256	1	0.51	0.043137	0.53659	0.03006	0.54388	0.029436
257	1	0.50159	0.049731	0.53201	0.034725	0.53795	0.034014
258	1	0.49445	0.056314	0.52827	0.0394	0.53288	0.038605
259	1	0.48836	0.062885	0.5252	0.044086	0.52855	0.043209
260	1	0.48312	0.069446	0.52266	0.048783	0.52484	0.047826
261	1	0.47859	0.075995	0.52056	0.05349	0.52165	0.052456
262	1	0.47464	0.082534	0.51881	0.058208	0.51892	0.057098
263	1	0.47117	0.089062	0.51734	0.062936	0.51656	0.061753
264	1	0.46809	0.095578	0.51609	0.067675	0.51451	0.066421
265	1	0.46533	0.10208	0.51501	0.072423	0.51274	0.071101
266	1	0.46283	0.10858	0.51408	0.077182	0.51119	0.075793
267	1	0.46054	0.11506	0.51326	0.081951	0.50983	0.080498
268	1	0.45843	0.12154	0.51253	0.086731	0.50863	0.085216
269	1	0.45646	0.128	0.51186	0.09152	0.50756	0.089946
270	1	0.45461	0.13445	0.51125	0.096319	0.5066	0.094688
271	1	0.45286	0.1409	0.51067	0.10113	0.50573	0.099442
272	1	0.45118	0.14733	0.51013	0.10595	0.50494	0.10421
273	1	0.44957	0.15375	0.50961	0.11078	0.50422	0.10899
274	1	0.44801	0.16016	0.5091	0.11562	0.50354	0.11378
275	1	0.44648	0.16656	0.5086	0.12046	0.50291	0.11858
276	1	0.44499	0.17295	0.50811	0.12532	0.50231	0.12339
277	1	0.44353	0.17933	0.50761	0.13019	0.50173	0.12822
278	1	0.44208	0.1857	0.50712	0.13507	0.50117	0.13306
279	1	0.44065	0.19206	0.50662	0.13996	0.50063	0.13791
280	1	0.43924	0.19841	0.50612	0.14485	0.5001	0.14277
281	1	0.43783	0.20475	0.50561	0.14976	0.49958	0.14764
282	1	0.43643	0.21108	0.50509	0.15468	0.49906	0.15252
283	1	0.43503	0.2174	0.50456	0.1596	0.49854	0.15742
284	1	0.43363	0.22371	0.50402	0.16454	0.49801	0.16233
285	1	0.43224	0.23001	0.50347	0.16948	0.49749	0.16725
286	1	0.43084	0.2363	0.50291	0.17443	0.49696	0.17218
287	1	0.42945	0.24259	0.50234	0.17939	0.49642	0.17712
288	1	0.42805	0.24886	0.50176	0.18437	0.49588	0.18207
289	1	0.42665	0.25512	0.50116	0.18935	0.49533	0.18703
290	1	0.42524	0.26137	0.50055	0.19434	0.49476	0.19201
291	1	0.42384	0.26762	0.49993	0.19934	0.49419	0.19699
292	1	0.42243	0.27385	0.49929	0.20434	0.49361	0.20199
293	1	0.42101	0.28007	0.49864	0.20936	0.49301	0.20699
294	1	0.41959	0.28629	0.49798	0.21439	0.49241	0.21201
295	1	0.41817	0.29249	0.49731	0.21942	0.49179	0.21704
296	1	0.41674	0.29869	0.49662	0.22446	0.49116	0.22208
297	1	0.4153	0.30488	0.49592	0.22952	0.49051	0.22713
298	1	0.41386	0.31105	0.4952	0.23458	0.48986	0.23219
299	1	0.41242	0.31722	0.49448	0.23965	0.48919	0.23726
300	1	0.41097	0.32338	0.49374	0.24472	0.4885	0.24235
301	1	0.40951	0.32953	0.49298	0.24981	0.48781	0.24744
302	1	0.40805	0.33568	0.49221	0.25491	0.48709	0.25254
303	1	0.40659	0.34181	0.49143	0.26001	0.48637	0.25766
304	1	0.40512	0.34793	0.49063	0.26512	0.48563	0.26278
305	1	0.40364	0.35405	0.48982	0.27024	0.48488	0.26791
306	1	0.40216	0.36015	0.489	0.27537	0.48411	0.27306
307	1	0.40067	0.36625	0.48817	0.28051	0.48333	0.27821
308	1	0.39918	0.37234	0.48732	0.28565	0.48254	0.28338
309	1	0.39768	0.37842	0.48645	0.29081	0.48173	0.28855
310	1	0.39618	0.38449	0.48557	0.29597	0.4809	0.29374
311	1	0.39467	0.39055	0.48468	0.30114	0.48006	0.29893
312	1	0.39315	0.39661	0.48378	0.30632	0.47921	0.30413
313	1	0.39163	0.40265	0.48286	0.3115	0.47834	0.30935
314	1	0.3901	0.40869	0.48193	0.3167	0.47746	0.31457
315	1	0.38857	0.41472	0.48098	0.3219	0.47657	0.31981
316	1	0.38703	0.42074	0.48002	0.32711	0.47566	0.32505
317	1	0.38549	0.42675	0.47905	0.33233	0.47473	0.3303
318	1	0.38394	0.43276	0.47807	0.33756	0.47379	0.33557
319	1	0.38239	0.43875	0.47707	0.34279	0.47284	0.34084
320	1	0.38083	0.44474	0.47605	0.34803	0.47187	0.34612
321	1	0.37926	0.45072	0.47502	0.35328	0.47089	0.35141
322	1	0.37769	0.45669	0.47398	0.35854	0.46989	0.35671
323	1	0.37611	0.46265	0.47293	0.3638	0.46888	0.36203
324	1	0.37453	0.46861	0.47186	0.36908	0.46786	0.36734
325	1	0.37294	0.47455	0.47078	0.37436	0.46682	0.37267
326	1	0.37135	0.48049	0.46968	0.37965	0.46576	0.37801
327	1	0.36975	0.48642	0.46857	0.38494	0.46469	0.38336
328	1	0.36814	0.49235	0.46745	0.39024	0.46361	0.38872
329	1	0.36653	0.49826	0.46631	0.39555	0.46251	0.39408
330	1	0.36492	0.50417	0.46516	0.40087	0.46139	0.39946
331	1	0.36329	0.51007	0.464	0.4062	0.46026	0.40484
332	1	0.36167	0.51596	0.46282	0.41153	0.45912	0.41023
333	1	0.36003	0.52185	0.46163	0.41687	0.45796	0.41564
334	1	0.35839	0.52772	0.46042	0.42222	0.45679	0.42105
335	1	0.35675	0.53359	0.4592	0.42757	0.4556	0.42647
336	1	0.3551	0.53945	0.45797	0.43293	0.4544	0.43189
337	1	0.35344	0.54531	0.45672	0.4383	0.45319	0.43733
338	1	0.35178	0.55115	0.45546	0.44368	0.45196	0.44278
339	1	0.35012	0.55699	0.45419	0.44906	0.45071	0.44823
340	1	0.34844	0.56282	0.4529	0.45445	0.44945	0.45369
341	1	0.34676	0.56865	0.4516	0.45985	0.44817	0.45917
342	1	0.34508	0.57446	0.45028	0.46525	0.44689	0.46465
343	1	0.34339	0.58027	0.44895	0.47066	0.44558	0.47014
344	1	0.3417	0.58608	0.44761	0.47608	0.44426	0.47563
345	1	0.33999	0.59187	0.44626	0.48151	0.44293	0.48114
346	1	0.33829	0.59766	0.44489	0.48694	0.44158	0.48665
347	1	0.33658	0.60344	0.4435	0.49238	0.44022	0.49217
348	1	0.33486	0.60921	0.4421	0.49782	0.43884	0.4977
349	1	0.33313	0.61498	0.44069	0.50328	0.43744	0.50324
350	1	0.33141	0.62074	0.43927	0.50874	0.43604	0.50879
351	1	0.32967	0.62649	0.43783	0.5142	0.43461	0.51435
352	1	0.32793	0.63223	0.43637	0.51967	0.43318	0.51991
353	1	0.32618	0.63797	0.43491	0.52515	0.43172	0.52548
354	1	0.32443	0.6437	0.43343	0.53064	0.43026	0.53106
355	1	0.32267	0.64943	0.43193	0.53613	0.42878	0.53665
356	1	0.32091	0.65515	0.43042	0.54163	0.42728	0.54224
357	1	0.31914	0.66086	0.4289	0.54713	0.42577	0.54785
358	1	0.31737	0.66656	0.42736	0.55265	0.42424	0.55346
359	1	0.31559	0.67226	0.42582	0.55816	0.4227	0.55908
360	1	0.3138	0.67795	0.42425	0.56369	0.42115	0.5647
361	1	0.31201	0.68363	0.42267	0.56922	0.41958	0.57034
362	1	0.31021	0.68931	0.42108	0.57476	0.41799	0.57598
363	1	0.30841	0.69498	0.41948	0.5803	0.41639	0.58163
364	1	0.3066	0.70064	0.41786	0.58585	0.41477	0.58729
365	1	0.30479	0.7063	0.41623	0.5914	0.41314	0.59295
366	1	0.30297	0.71195	0.41458	0.59697	0.4115	0.59863
367	1	0.30114	0.7176	0.41292	0.60253	0.40984	0.60431
368	1	0.29931	0.72323	0.41125	0.60811	0.40816	0.60999
369	1	0.29747	0.72886	0.40956	0.61369	0.40648	0.61569
370	1	0.29563	0.73449	0.40786	0.61928	0.40477	0.62139
371	1	0.29378	0.74011	0.40614	0.62487	0.40305	0.6271
372	1	0.29193	0.74572	0.40441	0.63047	0.40132	0.63282
373	1	0.29007	0.75133	0.40267	0.63607	0.39957	0.63854
374	1	0.2882	0.75693	0.40091	0.64168	0.3978	0.64428
375	1	0.28633	0.76252	0.39914	0.6473	0.39602	0.65002
376	1	0.28446	0.76811	0.39736	0.65292	0.39423	0.65576
377	1	0.28257	0.77369	0.39556	0.65855	0.39242	0.66152
378	1	0.28068	0.77926	0.39374	0.66418	0.3906	0.66728
379	1	0.27879	0.78483	0.39192	0.66982	0.38876	0.67304
380	1	0.27689	0.79039	0.39008	0.67547	0.38691	0.67882
381	1	0.27499	0.79595	0.38822	0.68112	0.38504	0.6846
382	1	0.27308	0.8015	0.38635	0.68678	0.38315	0.69039
383	1	0.27116	0.80705	0.38447	0.69244	0.38125	0.69619
384	1	0.26924	0.81259	0.38258	0.69811	0.37934	0.70199
385	1	0.26731	0.81812	0.38067	0.70378	0.37741	0.7078
386	1	0.26537	0.82365	0.37874	0.70946	0.37547	0.71362
387	1	0.26344	0.82917	0.37681	0.71515	0.37351	0.71944
388	1	0.26149	0.83468	0.37485	0.72084	0.37154	0.72527
389	1	0.25954	0.84019	0.37289	0.72654	0.36955	0.73111
390	1	0.25758	0.84569	0.37091	0.73224	0.36754	0.73695
391	1	0.25562	0.85119	0.36892	0.73795	0.36552	0.7428
392	1	0.25365	0.85668	0.36691	0.74366	0.36349	0.74866
393	1	0.25168	0.86217	0.36489	0.74938	0.36144	0.75452
394	1	0.2497	0.86765	0.36285	0.7551	0.35938	0.76039
395	1	0.24772	0.87313	0.3608	0.76083	0.3573	0.76627
396	1	0.24572	0.8786	0.35874	0.76657	0.35521	0.77215
397	1	0.24373	0.88406	0.35667	0.77231	0.3531	0.77804
398	1	0.24173	0.88952	0.35458	0.77805	0.35097	0.78394
399	1	0.23972	0.89497	0.35247	0.7838	0.34883	0.78984
400	1	0.23819	0.9003	0.3507	0.78948	0.34701	0.79567
401	1	0.23793	0.90531	0.34982	0.79493	0.34606	0.80129
402	1	0.23896	0.90993	0.34982	0.80013	0.34605	0.80665
403	1	0.24082	0.91424	0.35038	0.80512	0.3467	0.81179
404	1	0.24319	0.91828	0.35124	0.80993	0.3478	0.81674
405	1	0.2458	0.92209	0.35224	0.8146	0.34918	0.82152
406	1	0.24849	0.92571	0.35325	0.81914	0.35072	0.82615
407	1	0.25114	0.92916	0.35421	0.82358	0.35232	0.83067
408	1	0.25367	0.93247	0.35506	0.82794	0.35392	0.83507
409	1	0.25603	0.93566	0.35578	0.83221	0.35546	0.83937
410	1	0.2582	0.93875	0.35635	0.83642	0.35691	0.84359
411	1	0.26015	0.94174	0.35677	0.84058	0.35824	0.84773
412	1	0.26189	0.94465	0.35705	0.84468	0.35945	0.85181
413	1	0.26343	0.94749	0.3572	0.84873	0.36052	0.85582
414	1	0.26477	0.95025	0.35721	0.85275	0.36145	0.85978
415	1	0.26594	0.95296	0.35711	0.85672	0.36225	0.86369
416	1	0.26693	0.95562	0.35691	0.86066	0.36292	0.86755
417	1	0.26778	0.95822	0.35662	0.86457	0.36346	0.87137
