Kp	Ti	Td	beta	Jdi	Jr	Jdin	Jrn
0.4293	257.84	47.368	0.83188	0.93846	1.2613	0.4192	0.18287
0.42919	258.43	47.44	0.83422	0.94084	1.2605	0.42575	0.17927
0.42915	259.06	47.466	0.83773	0.94322	1.2598	0.4323	0.17566
0.42899	260.29	47.558	0.84355	0.94803	1.2583	0.44552	0.16859
0.42886	260.87	47.655	0.84528	0.95046	1.2576	0.4522	0.16509
0.42885	261.54	47.633	0.84657	0.95291	1.2569	0.45894	0.16169
0.42878	262.18	47.666	0.84974	0.95538	1.2562	0.46572	0.15833
0.42865	262.78	47.757	0.85154	0.95785	1.2556	0.47252	0.15495
0.42854	264.07	47.806	0.85816	0.96282	1.2542	0.48619	0.1483
0.42839	264.67	47.896	0.85989	0.96533	1.2535	0.4931	0.14507
0.42832	265.31	47.924	0.86138	0.96786	1.2529	0.50006	0.14189
0.42826	265.98	47.943	0.86315	0.97041	1.2522	0.50705	0.13872
0.42826	266.67	47.926	0.86732	0.97296	1.2516	0.51406	0.13558
0.42808	267.27	48.041	0.86847	0.97552	1.2509	0.52111	0.13244
0.42808	267.96	48.024	0.87254	0.97808	1.2503	0.52815	0.12932
0.42793	268.58	48.109	0.87432	0.98067	1.2497	0.53527	0.12628
0.42777	269.19	48.195	0.87604	0.98327	1.2491	0.54242	0.12331
0.42802	270.16	48.233	0.87714	0.98623	1.2482	0.55055	0.11908
0.42763	270.54	48.237	0.87913	0.98851	1.2479	0.55684	0.11741
0.42762	271.25	48.22	0.88307	0.99114	1.2473	0.56407	0.11448
0.42761	271.97	48.206	0.8869	0.99378	1.2467	0.57133	0.11158
0.42743	272.58	48.311	0.88822	0.99643	1.2461	0.57862	0.10868
0.42729	273.22	48.375	0.89027	0.9991	1.2455	0.58594	0.10588
0.42725	273.92	48.369	0.8916	1.0018	1.2449	0.59332	0.10312
0.42715	274.6	48.419	0.89311	1.0045	1.2444	0.60071	0.10032
0.42709	275.3	48.417	0.8968	1.0072	1.2438	0.60814	0.097627
0.4269	275.92	48.529	0.89769	1.0099	1.2433	0.6156	0.094895
0.42689	276.65	48.513	0.90138	1.0126	1.2427	0.62304	0.092172
0.42681	277.34	48.532	0.90431	1.0153	1.2422	0.63052	0.089511
0.42666	277.99	48.617	0.90596	1.018	1.2416	0.63803	0.086831
0.42667	278.75	48.566	0.90707	1.0208	1.2411	0.6456	0.08427
0.42649	279.38	48.644	0.90876	1.0236	1.2406	0.65319	0.08174
0.42633	280.03	48.728	0.91042	1.0263	1.24	0.66081	0.079174
0.42631	280.77	48.713	0.91395	1.0291	1.2395	0.66842	0.07662
0.42629	281.52	48.697	0.91746	1.0319	1.239	0.67605	0.074086
0.42639	282.48	48.9	0.91986	1.0352	1.2382	0.68509	0.070345
0.42591	282.79	48.853	0.92162	1.0375	1.238	0.69141	0.069201
